imdbId,tvdbId,tmdbId,tvmazeId
tt0185103,76779,4656,802
tt0227972,75640,1549,803
tt2659152,374470,46707,16753
tt2359548,377596,46706,16909
tt0321014,,395,27906
tt0423767,74360,1624,27903
tt1300145,273412,83818,27907
tt1601141,144541,31991,2266
tt24083664,429695,214686,
tt22688938,,228944,
tt26676209,256853,239935,8986
tt29010395,439287,233669,
tt27790130,437217,230815,69943
tt11102670,378940,133136,46850
tt31844701,448509,250361,76002
tt31408298,448028,253028,78710
tt33040785,440448,245684,79067
tt27561741,449594,249753,75470
tt28665756,438387,232748,70658
tt36590412,474995,315733,90729
tt31502439,453162,260681,78320
tt16044540,,136396,
tt7528604,,82779,
tt8134736,347390,78314,
tt9863496,354304,86361,
tt9652902,358410,87758,76891
tt7211494,359980,98725,
tt15823360,397435,233633,68648
tt1275297,277804,7695,
tt31852761,450843,262969,80171
tt27541796,442383,239139,66404
tt36283938,462180,287618,
tt38286519,467084,298595,
tt42543947,478186,322430,92002
tt4546568,284209,5092,3480
tt2185037,248870,33238,3479
tt10407916,,280122,
tt0316977,339801,17107,
tt5830218,280109,33773,26193
tt5690116,,201259,
tt0845829,,56509,
tt0121033,265441,64611,
tt7521778,335877,74682,32272
tt13304700,387021,108291,58188
tt11354258,414446,155764,59641
tt27744576,421766,203508,63335
tt26766489,431664,220783,67431
tt28262225,,256527,
tt0367279,72173,4589,321
tt0144039,363072,74170,44835
tt0284741,228971,48692,28937
tt0383790,,77984,
tt0243067,362893,17842,45099
tt1985443,256233,43016,1102
tt1949720,254143,42518,1652
tt0199232,,47059,64576
tt0095252,458930,48542,
tt0472242,272011,72954,32259
tt1820723,253556,43065,1670
tt0929897,234971,41135,
tt2043616,256959,41670,10463
tt0920511,254777,40885,17044
tt0442841,,73738,
tt0055677,95161,42983,
tt0115238,80307,47193,18610
tt1801809,255252,64005,52620
tt0066653,254147,308571,
tt0085207,,39974,
tt0217225,273720,80382,
tt0119571,,41737,
tt0052509,85164,66500,
tt1524537,294762,303686,
tt1278234,462647,299855,
tt1711534,282193,71374,
tt2720566,,80346,34093
tt0098540,269866,77210,92772
tt0186804,161791,35962,36223
tt0117592,,40003,
tt0789779,,16464,
tt0973780,267635,73477,44915
tt1312203,144431,42769,
tt1383237,248517,78674,49307
tt0832441,,206077,72373
tt0306736,,104219,
tt0117248,289439,36172,
tt1010044,120951,76393,
tt0081917,257802,80352,33357
tt2062690,261307,75838,
tt0465697,,245915,
tt2074875,253267,43443,
tt0085932,278702,43182,35207
tt1321867,,43491,
tt1422182,118861,31752,5068
tt0386959,123431,70591,43071
tt0950508,,14302,
tt1794886,261632,55446,
tt0110721,,47215,
tt0109537,396123,48696,50671
tt0099543,398280,40224,
tt0420457,251579,134320,
tt0102318,,56327,
tt0172202,145671,42549,
tt1371711,259105,21172,
tt1518917,248563,38168,9903
tt0228157,,20538,
tt0918509,,9389,
tt0497362,,60050,
tt0133727,,16121,
tt2277932,274228,128792,12241
tt0135093,229221,77385,46934
tt1499786,,47564,
tt0410055,237401,41480,
tt0095531,,48827,
tt0089512,,48451,
tt0433411,,6911,
tt0217658,,41872,
tt0486569,,42118,
tt0805619,,42097,
tt1273815,275865,20004,
tt0065534,,43452,
tt0068781,,17124,
tt0094546,361175,22817,58102
tt0493322,,42084,
tt0383046,,47803,
tt0295006,391987,73637,
tt0306375,437882,57314,
tt0097808,,57325,
tt2350164,274364,75660,
tt0092081,,47769,
tt0079783,,314565,55483
tt3568088,285976,61428,7423
tt0795422,,35478,
tt0088349,,48491,
tt3629782,286969,61498,242
tt0406984,,50159,
tt4456242,351738,255411,46803
tt0094801,,39767,
tt4484768,326621,79969,
tt5040702,,203315,
tt6777286,339965,75961,31423
tt0173578,358772,299428,90380
tt0192122,,43461,
tt0302244,,316425,
tt6358156,361550,87777,
tt10042186,366085,90760,51327
tt3796698,311836,77070,
tt0347084,440547,236556,
tt0374926,,54821,
tt0055553,,56373,
tt0092337,83044,42699,
tt1279086,82840,18961,26524
tt0435100,260885,42693,
tt1878805,261656,40204,1041
tt0208629,80961,7389,5004
tt0469854,260886,75686,
tt0074462,,47940,
tt0167565,90531,32166,6140
tt0094982,83044,42699,
tt0765458,79988,4475,5072
tt0181199,132021,20658,18944
tt0240628,,47028,
tt0118493,103781,73755,60593
tt0097700,,21300,
tt0430484,79374,6132,31282
tt1178622,397829,23731,54267
tt0117523,,56468,
tt0073957,102951,115635,11594
tt1700257,355974,256515,
tt0464129,296708,201245,
tt0129277,,90578,
tt0111033,,39788,
tt0423651,82183,13812,6723
tt0106029,76270,5248,40773
tt0309150,200261,128790,
tt1054675,80967,46197,18547
tt0087583,249189,9503,20430
tt0056790,216141,79508,
tt0090638,277841,47243,45116
tt0129669,153131,22177,91222
tt1633245,,58721,
tt0473570,83872,43621,
tt0111936,342078,47189,50229
tt2535664,267816,60870,27265
tt0208875,,56503,
tt1782440,,37530,
tt2138058,270751,58750,44484
tt1958957,253883,100525,52680
tt0478996,,73736,
tt0273021,,16472,
tt0324264,82851,13894,6724
tt1510984,260611,39784,48267
tt2224327,257853,61685,
tt0174937,,45180,
tt0131331,,279861,49898
tt0331802,225981,54454,49418
tt0254913,200281,70472,49472
tt0316030,,41714,
tt0090435,249291,20788,23752
tt0818080,,31657,
tt1831575,251645,44434,7374
tt0440205,189071,13736,
tt0103973,,20070,
tt0181571,,6985,
tt0309720,319646,19193,
tt0113892,,48700,
tt1079970,,6681,
tt0102613,,9169,
tt0075124,,47930,
tt1560591,262777,48652,23023
tt0785054,,42121,
tt0087160,,15917,
tt0480035,,42512,
tt0092179,,47792,
tt0100052,,43479,
tt0071847,,33125,
tt0293437,,46982,
tt0464165,,13876,
tt0075220,153381,17435,
tt0094199,368688,15733,50665
tt3037036,283655,75691,
tt0275434,,43205,
tt0084369,,42497,
tt0380123,,22511,
tt2943304,436194,197664,
tt0363685,,15879,
tt3804834,297965,63543,
tt0092590,,137354,50685
tt0442698,,16898,
tt3145138,276154,61246,7425
tt1912979,,46692,
tt1854668,240211,38766,20841
tt0080558,,74199,
tt4383082,293822,77144,1730
tt4262380,,79849,
tt0106506,,47303,
tt4847012,297359,63415,2471
tt5641680,336251,74248,
tt7167542,358769,79036,
tt7799912,,322806,
tt8924868,352122,81968,
tt7758896,356347,84708,45211
tt0296709,,47289,
tt6050280,,83132,
tt0080364,,18952,
tt14216680,413627,154341,63155
tt0078839,,317173,
tt0100004,,31004,
tt1521050,,328820,
